epoch,accuracy,loss,val_accuracy,val_loss
0,0.6886715292930603,0.8844774961471558,0.6815961003303528,0.9127795696258545
1,0.7170153260231018,0.7934603691101074,0.7011400461196899,0.8877117037773132
2,0.7325907945632935,0.7423950433731079,0.7100977301597595,0.8517128229141235
3,0.7446346282958984,0.7128732800483704,0.7068403959274292,0.8711416721343994
4,0.7548673152923584,0.6861149072647095,0.7304560542106628,0.8146021366119385
5,0.765915036201477,0.6566860675811768,0.7214983701705933,0.8186530470848083
6,0.7775061130523682,0.626193642616272,0.7166123986244202,0.8298909664154053
7,0.7815811038017273,0.5976238250732422,0.7345277070999146,0.79158616065979
8,0.7903649210929871,0.5800409913063049,0.7247557044029236,0.8241307735443115
9,0.8013221025466919,0.5516242980957031,0.7459283471107483,0.7865562438964844
