epoch,accuracy,loss,val_accuracy,val_loss
0,0.5232273936271667,1.3128924369812012,0.6131922006607056,1.105508804321289
1,0.611609160900116,1.079040765762329,0.6482084393501282,1.015657663345337
2,0.657882809638977,0.9759225249290466,0.6750814318656921,0.9666590094566345
3,0.6865887641906738,0.892844021320343,0.708469033241272,0.8727092146873474
4,0.7137553095817566,0.8081097602844238,0.7271987199783325,0.8342106342315674
5,0.7326813340187073,0.7593593597412109,0.7133550643920898,0.9068062901496887
6,0.7479851245880127,0.7105018496513367,0.7019544243812561,0.8616207838058472
7,0.7541428804397583,0.6789324879646301,0.7027687430381775,0.8930156230926514
8,0.7718011140823364,0.6484209299087524,0.7011400461196899,0.8943126797676086
9,0.7827582955360413,0.6052135825157166,0.7271987199783325,0.8453501462936401
10,0.7956171035766602,0.5729674696922302,0.7109120488166809,0.8577396869659424
11,0.8018654584884644,0.5402259826660156,0.6962540745735168,0.9627058506011963
12,0.8141809105873108,0.5169996023178101,0.7206840515136719,0.8637190461158752
