epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.16479356586933136,1.9999999494757503e-05,1.934161901473999,0.3637651801109314,1.728218674659729
1,0.1734532117843628,1.9999999494757503e-05,1.920812726020813,0.3686234951019287,1.6445196866989136
2,0.1821010261774063,1.9999999494757503e-05,1.9054946899414062,0.4076923131942749,1.5602055788040161
3,0.18826451897621155,1.9999999494757503e-05,1.8953481912612915,0.40364372730255127,1.5484625101089478
4,0.19552820920944214,1.9999999494757503e-05,1.8885884284973145,0.43603238463401794,1.5288970470428467
5,0.19957411289215088,1.9999999494757503e-05,1.8778802156448364,0.44372469186782837,1.564681887626648
6,0.20152609050273895,1.9999999494757503e-05,1.8794625997543335,0.49676114320755005,1.3418235778808594
7,0.20668402314186096,1.9999999494757503e-05,1.8643271923065186,0.44331982731819153,1.4855296611785889
8,0.21183012425899506,1.9999999494757503e-05,1.8613415956497192,0.4514169991016388,1.4990170001983643
9,0.21349816024303436,1.9999999494757503e-05,1.8545701503753662,0.5072874426841736,1.3428293466567993
10,0.2211759090423584,1.9999999494757503e-05,1.843360185623169,0.44999998807907104,1.4840030670166016
11,0.22326985001564026,1.9999999494757503e-05,1.8407608270645142,0.43805667757987976,1.4863330125808716
12,0.2314799427986145,9.999999747378752e-06,1.82420814037323,0.5062752962112427,1.3357844352722168
13,0.23069916665554047,9.999999747378752e-06,1.8222973346710205,0.4860323965549469,1.3946119546890259
14,0.23675617575645447,9.999999747378752e-06,1.8123130798339844,0.47429150342941284,1.4058858156204224
15,0.24264757335186005,9.999999747378752e-06,1.8027379512786865,0.5269230604171753,1.2746827602386475
16,0.24497811496257782,9.999999747378752e-06,1.7988201379776,0.5325911045074463,1.2820556163787842
17,0.24891754984855652,9.999999747378752e-06,1.7944884300231934,0.53340083360672,1.271453857421875
18,0.2542056143283844,9.999999747378752e-06,1.7822164297103882,0.5174089074134827,1.3237342834472656
19,0.25757718086242676,9.999999747378752e-06,1.775718331336975,0.5085020065307617,1.344235897064209
20,0.2598130702972412,9.999999747378752e-06,1.768883228302002,0.5453441143035889,1.2604584693908691
21,0.2623092532157898,9.999999747378752e-06,1.7726469039916992,0.538866400718689,1.266762137413025
22,0.26818880438804626,9.999999747378752e-06,1.7586694955825806,0.5463562607765198,1.26189386844635
23,0.268898606300354,9.999999747378752e-06,1.7515019178390503,0.5182186365127563,1.3348876237869263
24,0.27462440729141235,9.999999747378752e-06,1.7450554370880127,0.5542510151863098,1.2201509475708008
25,0.2764817178249359,9.999999747378752e-06,1.7414636611938477,0.5228744745254517,1.3211562633514404
26,0.2823967933654785,9.999999747378752e-06,1.7290619611740112,0.5678137540817261,1.2099213600158691
27,0.29119840264320374,9.999999747378752e-06,1.717052698135376,0.5775303840637207,1.1727467775344849
28,0.29287827014923096,9.999999747378752e-06,1.7135940790176392,0.546558678150177,1.2747747898101807
29,0.29364722967147827,9.999999747378752e-06,1.7130639553070068,0.5738866329193115,1.1820075511932373
30,0.29918372631073,9.999999747378752e-06,1.6993722915649414,0.5874493718147278,1.1724308729171753
31,0.30430614948272705,9.999999747378752e-06,1.6873351335525513,0.5740890502929688,1.1812046766281128
32,0.3106116056442261,9.999999747378752e-06,1.6736972332000732,0.5941295623779297,1.1416199207305908
33,0.3187270760536194,9.999999747378752e-06,1.658728837966919,0.5668016076087952,1.239112138748169
34,0.3272920846939087,9.999999747378752e-06,1.64841628074646,0.5734817981719971,1.155733346939087
35,0.33112505078315735,9.999999747378752e-06,1.6393176317214966,0.5536437034606934,1.253585696220398
36,0.33543121814727783,9.999999747378752e-06,1.6277856826782227,0.5791497826576233,1.1867375373840332
37,0.33817580342292786,9.999999747378752e-06,1.623626947402954,0.5548583269119263,1.2336753606796265
38,0.34088489413261414,4.999999873689376e-06,1.6171422004699707,0.5698380470275879,1.1965465545654297
39,0.34468236565589905,4.999999873689376e-06,1.608667254447937,0.5864372253417969,1.1861377954483032
40,0.35163846611976624,4.999999873689376e-06,1.5969641208648682,0.5751011967658997,1.1873301267623901
41,0.349284291267395,4.999999873689376e-06,1.595000147819519,0.5795546770095825,1.1754645109176636
42,0.34603098034858704,4.999999873689376e-06,1.596327543258667,0.5850202441215515,1.1750165224075317
