epoch,accuracy,loss,val_accuracy,val_loss
0,0.39590689539909363,2.014580726623535,0.482899010181427,1.3326795101165771
1,0.45712214708328247,1.505802035331726,0.5276873111724854,1.2509398460388184
2,0.48202481865882874,1.4095317125320435,0.5211726427078247,1.257226824760437
3,0.4924386441707611,1.3630341291427612,0.5317589640617371,1.2526330947875977
4,0.5008602738380432,1.340728759765625,0.534201979637146,1.2428950071334839
5,0.5052069425582886,1.3312010765075684,0.5472312569618225,1.232460856437683
6,0.5109118819236755,1.3139902353286743,0.5447883009910583,1.2184648513793945
7,0.5174318552017212,1.3114523887634277,0.5464169383049011,1.2112109661102295
8,0.5247668027877808,1.3048392534255981,0.541530966758728,1.2247554063796997
9,0.5168884992599487,1.3043314218521118,0.5627036094665527,1.194477915763855
10,0.5183374285697937,1.305293083190918,0.5488599538803101,1.2062454223632812
11,0.5197862982749939,1.2966703176498413,0.5496742725372314,1.2091989517211914
12,0.5242235064506531,1.2922672033309937,0.5578175783157349,1.2047990560531616
13,0.5240423679351807,1.2842192649841309,0.5732899308204651,1.1905503273010254
14,0.5195146203041077,1.2874181270599365,0.5741042494773865,1.1920827627182007
