epoch,accuracy,loss,val_accuracy,val_loss
0,0.9010410308837891,0.28261831402778625,0.6870445609092712,1.3713929653167725
1,0.8996687531471252,0.28170686960220337,0.6953441500663757,1.3467735052108765
2,0.9018928408622742,0.27634087204933167,0.6896761059761047,1.3623673915863037
3,0.9028510451316833,0.2763935625553131,0.6947368383407593,1.3571823835372925
4,0.9054418802261353,0.2658200263977051,0.690081000328064,1.3693000078201294
5,0.9059387445449829,0.2669738829135895,0.6941295266151428,1.3856431245803833
6,0.9071690440177917,0.2619234323501587,0.6929149627685547,1.4138001203536987
7,0.9093576073646545,0.25559142231941223,0.697773277759552,1.3931379318237305
8,0.911143958568573,0.2528262138366699,0.6925101280212402,1.4193693399429321
9,0.9131077527999878,0.24487300217151642,0.6947368383407593,1.4120945930480957
10,0.9147285223007202,0.2435425966978073,0.6878542304039001,1.427885890007019
11,0.9143735766410828,0.2434890866279602,0.6919028162956238,1.4226515293121338
12,0.9174376130104065,0.2343299239873886,0.6973684430122375,1.427436113357544
13,0.9155920743942261,0.2396727204322815,0.694534420967102,1.4363917112350464
14,0.9181000590324402,0.231978178024292,0.6935222744941711,1.4490243196487427
15,0.9190109968185425,0.22813554108142853,0.6941295266151428,1.4784166812896729
16,0.9220158457756042,0.22363364696502686,0.6963562965393066,1.4786639213562012
17,0.9209393262863159,0.22351349890232086,0.697773277759552,1.5019526481628418
18,0.9224180579185486,0.21965530514717102,0.694534420967102,1.4866406917572021
19,0.9232935309410095,0.21654647588729858,0.6939271092414856,1.494308590888977
20,0.9255175590515137,0.2109680026769638,0.6963562965393066,1.4987035989761353
21,0.9247249364852905,0.21276460587978363,0.6971659660339355,1.511682152748108
22,0.9264876246452332,0.20797504484653473,0.6963562965393066,1.5027685165405273
