epoch,accuracy,loss,val_accuracy,val_loss
0,0.2739737331867218,1.843357801437378,0.397165983915329,1.5434150695800781
1,0.4116171896457672,1.523114800453186,0.5226720571517944,1.2906190156936646
2,0.4730391502380371,1.379427194595337,0.4562753140926361,1.4363703727722168
3,0.5070388913154602,1.2936521768569946,0.5072874426841736,1.29779052734375
4,0.537714421749115,1.2267917394638062,0.5463562607765198,1.2385519742965698
5,0.557896614074707,1.174512267112732,0.5957489609718323,1.142346978187561
6,0.574612557888031,1.1322426795959473,0.596558690071106,1.1070963144302368
7,0.5903702974319458,1.093423843383789,0.5939271450042725,1.1271473169326782
8,0.6036673188209534,1.0606850385665894,0.5912955403327942,1.1414111852645874
9,0.6204424500465393,1.022973656654358,0.5981781482696533,1.1281683444976807
10,0.6324381828308105,0.9906935691833496,0.590080976486206,1.1423394680023193
11,0.6423044800758362,0.9645763039588928,0.5722672343254089,1.18453848361969
12,0.6550337076187134,0.9344303607940674,0.637854278087616,1.0379098653793335
13,0.6629125475883484,0.9149736166000366,0.6368421316146851,1.0443626642227173
14,0.6727315783500671,0.8882668614387512,0.6414979696273804,1.0073200464248657
15,0.6806459426879883,0.8682735562324524,0.6317813992500305,1.0557597875595093
16,0.6929492354393005,0.8430498242378235,0.6576923131942749,0.9581013321876526
17,0.6978232860565186,0.8223782181739807,0.6382591128349304,1.0368878841400146
18,0.7046019434928894,0.8047616481781006,0.6655870676040649,0.997285008430481
19,0.7136992812156677,0.786104142665863,0.6493927240371704,1.0305700302124023
20,0.7195906639099121,0.7658120393753052,0.6499999761581421,1.0457587242126465
21,0.7286525368690491,0.7450728416442871,0.651214599609375,1.1001076698303223
22,0.7334555983543396,0.7301241755485535,0.6457489728927612,1.0249518156051636
23,0.7405181527137756,0.7113114595413208,0.6706477999687195,0.9928185343742371
24,0.7446350455284119,0.6993536949157715,0.6726720929145813,1.0017846822738647
25,0.7537205815315247,0.6812808513641357,0.6449392437934875,1.0549089908599854
26,0.7565953135490417,0.6708003282546997,0.6641700267791748,0.9899313449859619
