epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
2,0.14833787083625793,0.0010000000474974513,1.950750470161438,0.16842105984687805,1.879225730895996
3,0.15039630234241486,0.0010000000474974513,1.945102572441101,0.3291498124599457,1.7445276975631714
4,0.15271501243114471,0.0010000000474974513,1.9418177604675293,0.3293522298336029,1.7620198726654053
5,0.15492723882198334,0.0010000000474974513,1.9392316341400146,0.329959511756897,1.7287931442260742
6,0.16507749259471893,0.0010000000474974513,1.9320536851882935,0.3030364513397217,1.785936713218689
7,0.16598840057849884,0.0010000000474974513,1.93074631690979,0.35040485858917236,1.7090435028076172
8,0.16727788746356964,0.0010000000474974513,1.9292188882827759,0.2342105209827423,1.8383119106292725
9,0.17086242139339447,0.0010000000474974513,1.9248356819152832,0.26153847575187683,1.871330976486206
10,0.17009346187114716,0.0010000000474974513,1.9234576225280762,0.274493932723999,1.8017926216125488
11,0.17228202521800995,0.0010000000474974513,1.9221274852752686,0.2874493896961212,1.7846124172210693
12,0.1724831461906433,0.0010000000474974513,1.9227685928344727,0.3087044656276703,1.7517359256744385
13,0.18105997145175934,0.0005000000237487257,1.914254903793335,0.3368421196937561,1.7229938507080078
14,0.18188808858394623,0.0005000000237487257,1.9121615886688232,0.2949392795562744,1.8109768629074097
15,0.18116645514965057,0.0005000000237487257,1.9118393659591675,0.2817813754081726,1.8050453662872314
16,0.18499940633773804,0.0005000000237487257,1.9088904857635498,0.27206477522850037,1.8198184967041016
17,0.18462084233760834,0.0005000000237487257,1.90578293800354,0.2779352366924286,1.8095232248306274
